universe=522 轮=35
[2026-07-21] 轮=35 alpha_e0=+50.6bp capture=0.00 regret=+1078.6bp 池中位=+21.7bp 税(选/池)=+37.6/-3.2bp 池外选中=0
/Users/thomaschang/Projects/GridTradeBi/scripts/cf_patrol.py:180: FutureWarning: casting datetime64[ns] values to int64 with .astype(...) is deprecated and will raise in a future version. Use .view(...) instead.
  & (abs(cf['run_time'].astype('int64') // 10**6
账本对照 n=35 |Δ|中位=0.285pp max=5.135pp 判线≤0.5pp: PASS
          symbol  offset       sim      live reason_sim reason_live  delta_pp
 VANRY/USDT:USDT       6  0.000000  0.000000     资金费率止损      资金费率止损  0.000000
 ALICE/USDT:USDT       7  0.004284  0.004852       窗口结束       周期再平衡 -0.056842
   CAP/USDT:USDT       8  0.023984 -0.027362       窗口结束      pv主动止损  5.134653
   SYN/USDT:USDT       9 -0.010719  0.009513     pv主动止损       周期再平衡 -2.023285
  PROM/USDT:USDT      10 -0.030636 -0.030701       固定止损        固定止损  0.006541
  STAR/USDT:USDT      11 -0.004377  0.004516       窗口结束       周期再平衡 -0.889307
 ALICE/USDT:USDT       0 -0.012078 -0.011797     pv主动止损      pv主动止损 -0.028077
 TOWNS/USDT:USDT       1  0.006105  0.007797       窗口结束       周期再平衡 -0.169204
  ZEST/USDT:USDT       2 -0.000195  0.009125       窗口结束       周期再平衡 -0.931927
   ACE/USDT:USDT       3 -0.027234 -0.013300     pv主动止损      pv主动止损 -1.393434
    ON/USDT:USDT       4 -0.000036  0.015803     连续回撤止盈      连续回撤止盈 -1.583871
  PROM/USDT:USDT       5 -0.030812 -0.011772       固定止损      pv主动止损 -1.903993
   XVG/USDT:USDT       6 -0.002091 -0.001545       窗口结束       周期再平衡 -0.054663
  HOME/USDT:USDT       7  0.027527  0.028160       窗口结束       周期再平衡 -0.063290
   CLO/USDT:USDT       8  0.021329 -0.011278       窗口结束      pv主动止损  3.260731
  EVAA/USDT:USDT       9  0.010327  0.002095       窗口结束       周期再平衡  0.823254
 BRETT/USDT:USDT      10 -0.015410 -0.012389     pv主动止损      pv主动止损 -0.302056
NAORIS/USDT:USDT      11 -0.012359 -0.010435     pv主动止损      pv主动止损 -0.192312
  HYPE/USDT:USDT       0  0.011459  0.011447       窗口结束       周期再平衡  0.001296
 MAGMA/USDT:USDT       1 -0.001589  0.000031       窗口结束       周期再平衡 -0.162025
     B/USDT:USDT       2  0.001133  0.005103       窗口结束       周期再平衡 -0.397034
 TOWNS/USDT:USDT       3  0.000957  0.004206       窗口结束       周期再平衡 -0.324833
   SYN/USDT:USDT       4  0.010685 -0.009720       窗口结束      pv主动止损  2.040458
     B/USDT:USDT       5  0.001914  0.000000       窗口结束        None  0.191397
 BRETT/USDT:USDT       6 -0.013417 -0.010566     pv主动止损      pv主动止损 -0.285103
    YB/USDT:USDT       7  0.005834  0.005840       窗口结束       周期再平衡 -0.000608
  GWEI/USDT:USDT       8  0.015142  0.015184       窗口结束       周期再平衡 -0.004291
  HEMI/USDT:USDT       9  0.001033  0.001217       窗口结束       周期再平衡 -0.018357
  GWEI/USDT:USDT      10  0.023391  0.023374       窗口结束       周期再平衡  0.001680
 BRETT/USDT:USDT      11  0.007618  0.007625       窗口结束       周期再平衡 -0.000662
 BRETT/USDT:USDT       0  0.011248  0.011265       窗口结束       周期再平衡 -0.001638
   TAG/USDT:USDT       1  0.004110 -0.008106       窗口结束       周期再平衡  1.221682
   ACE/USDT:USDT       2  0.010628 -0.018383       窗口结束      pv主动止损  2.901127
   TAG/USDT:USDT       3  0.007736 -0.001035       窗口结束       周期再平衡  0.877053
  BANK/USDT:USDT       4  0.012555  0.027515       窗口结束       周期再平衡 -1.496002
