窗                     W1        W2     OOS        IS   HOLD-A   HOLD-B
轮数                259.00   246.000  250.00   551.000  222.000  234.000
选中E0均值(bp)        -35.80    30.000   -9.80    11.200   -3.500    7.100
池E0均值(bp)         -16.40    -0.600   -5.40     3.700   -6.400   -0.100
选中s030均值(bp)       -0.50    16.900    0.40     7.600    2.300   -3.100
池s030均值(bp)        -3.50     1.600   -1.90     1.800   -2.600   -1.300
选币alpha_E0(bp)    -21.60    30.000   -4.40     7.600    3.200    7.400
捕获率                 0.00     0.004    0.00     0.002    0.027    0.004
遗憾(bp)            932.50  1039.300  860.50  1199.600  509.300  356.100
池中位(bp)            11.00    30.000   16.30    24.900   20.400   22.200
池顶(bp)            896.70  1069.400  850.70  1210.800  505.700  363.200
止损税·选(bp)         -35.40    13.100  -10.30     3.600   -5.800   10.300
止损税·池(bp)         -12.90    -2.200   -3.50     1.900   -3.800    1.200
系统alpha_s030(bp)    2.30    14.900    2.30     5.900    5.100   -1.900
燃料z                 0.21     0.170    0.14     0.240    0.330    0.210
毒药z                 0.12     0.010    0.11     0.150    0.210    0.090
汇率(平衡0.54)          0.58     0.080    0.80     0.640    0.640    0.440
体检分(bp)            -0.50     4.900   -2.10    -1.400   -2.100    1.300
池外选中                0.00     0.000    0.00     0.000    0.000    0.000
